aff_ror_id,doi,affiliation,count_usage,match,predicted_ror_id
https://ror.org/02rx3b187,10.1103/PhysRevA.105.L020802,"Université de Grenoble Alpes, CNRS, IPAG (Institut de Planétologie et d'Astrophysique de Grenoble), F-38000 Grenoble, France",1,N,https://ror.org/01kcrnc96
https://ror.org/05n3dz165,10.1103/PhysRevLett.90.024501,"Department of Physics, University of Jyväskylä, P.O. Box 35, FIN–40351 Jyväskylä, Finland",1,Y,https://ror.org/05n3dz165
https://ror.org/011dv8m48,10.1103/PhysRevA.104.023701,"International Centre for Theory of Quantum Technologies, University of Gdańsk, PL-80308 Gdańsk, Poland",1,Y,https://ror.org/011dv8m48
https://ror.org/0079gpv38,10.1103/PhysRevD.94.124024,"Facultad de Ciencias de la Universidad Autónoma del Estado de México, Instituto Literario No. 100, C.P. 50000 Toluca, Estado de México, México",1,Y,https://ror.org/0079gpv38
https://ror.org/035xkbk20,10.1103/PhysRevE.88.042407,"Institut Matériaux Microélectronique Nanosciences de Provence, Aix-Marseille Université and CNRS UMR 7334, Campus de Saint-Jérôme, Case 142, 13397 Marseille Cedex 20, France",1,N,https://ror.org/0238zyh04
https://ror.org/03n15ch10,10.1103/PhysRevB.92.115109,"Institut de Physique Théorique (IPhT), CEA, CNRS, UMR CNRS 3681, 91191 Gif-sur-Yvette, France",2,N,https://ror.org/058rvd314
https://ror.org/051escj72,10.1103/PhysRevE.91.022203,"Université de Montpellier, CNRS, LMGC, Place Eugène Bataillon, 34095 Montpellier, France",1,Y,https://ror.org/051escj72
https://ror.org/02n96ep67,10.1103/PhysRevPhysEducRes.18.020102,"East China Normal University, Faculty of Education, Shanghai 200062, China",2,Y,https://ror.org/02n96ep67
https://ror.org/05591te55,10.1103/PhysRevA.87.042117,"Ludwig-Maximilians-Universität München, Theresienstraße 37, 80333 München, Germany",15,Y,https://ror.org/05591te55
https://ror.org/03nawhv43,10.1103/PhysRevLett.93.211603,"Department of Physics, University of California, Riverside California 92521-0413, USA",1,Y,https://ror.org/03nawhv43
https://ror.org/03v4gjf40,10.1103/PhysRevA.102.033712,"Technische Universität Berlin, Nichtlineare Optik und Quantenelektronik, Hardenbergstraße 36, 10623 Berlin, Germany",1,Y,https://ror.org/03v4gjf40
